"slug","title","url","published_at","lang","summary"
"2021-12-20-is-mapping-graph","Delivering Information System mapping. As a Graph.","https://www.linkedin.com/pulse/delivering-information-system-mapping-graph-adrien-sales/","2021-12-20","en","Approach using Neo4j to create visual, queryable maps of complex information systems treated as social networks. Enables answering critical operational questions without manual maintenance or expensive tooling."
"2020-12-17-meeting-rooms-ml","Optimize Meeting rooms and workspaces usage thanks to KPIs & analytics produced with Machine Learning","https://www.linkedin.com/pulse/optimize-meeting-rooms-workspaces-usage-thanks-kpis-analytics-sales/","2020-12-17","en","Machine learning solution for tracking workspace occupancy using computer vision and AWS Deep Java Library. Feeds real-time KPIs and heatmap visualizations to an ELK Stack dashboard."
"2020-12-03-creative-blocks-microgames","Creative with Blocks: Draw, Compose, Share Ideas by Packaging Them Microgames","https://www.linkedin.com/pulse/creative-blocks-draw-compose-share-ideas-packaging-them-adrien-sales/","2020-12-03","en","Explores packaging ideas as interactive microgames rather than traditional presentations, using Microsoft MakeCode, Bitsy and itch.io. Montre comment des non-développeurs peuvent créer et partager des jeux pour communiquer des concepts."
"2020-10-30-katacoda-digital-learning","Design digital learning scenarios as live experiences thanks to Katacoda... and why it's a big deal.","https://www.linkedin.com/pulse/design-digital-learning-scenarios-live-experiences-thanks-sales/","2020-10-30","en","Explores how Katacoda enables 'learn by doing' directly in the browser without local setup. Demonstrates deploying APIs on Kubernetes as a live scenario."
"2020-08-20-music-ops-sonic-pi","Music OPS: put sync music in the Pipeline with ambient generative music","https://www.linkedin.com/pulse/music-ops-put-sync-pipeline-ambient-generative-adrien-sales/","2020-08-20","en","Applies DevOps principles to music creation by coding a generative soundtrack with Sonic Pi, inspired by Brian Eno and John Carpenter. Demonstrates versioning, pipeline and delivery of source-code-as-music."
"2020-08-07-terminal-kanak-slang","Hacking your terminal with Regional Slang and Expressions from New-Caledonia","https://www.linkedin.com/pulse/hacking-your-terminal-regional-slang-expressions-from-adrien-sales/","2020-08-07","en","Demonstrates integrating New-Caledonian regional expressions into Linux terminal commands via the Kalolo-API and cowsay/boxes/toilet. Cultural hacking of the developer environment."
"2020-07-02-conso-plus-ux-open-innovation","Design d'une expérience utilisateur autour d'une carte de fidélité grâce à l'Open Innovation","https://www.linkedin.com/pulse/design-dune-exp%C3%A9rience-utilisateur-autour-carte-de-fid%C3%A9lit%C3%A9-sales/","2020-07-02","fr","Projet de refonte de l'application mobile Conso+ en Nouvelle-Calédonie avec une approche d'innovation ouverte. L'application Flutter consolide gestion de fidélité, solde, promotions et paiement mobile."
"2020-04-19-open-innovation-covid-platform","Creating platform driven solutions. A full and operational Open Innovation product inception & release story.","https://www.linkedin.com/pulse/creating-platform-driven-solutions-full-operational-open-adrien-sales/","2020-04-19","en","Describes building a job-seeking platform for New Caledonia during COVID-19 using public government data, with Java SDK, Spring Boot API, Flutter app and promo site. Built remotely by students in a lean, cloud-native approach."
"2020-04-13-touchless-soap-dispenser","Prepare the road to deconfinement with adapted devices: the Universal Contactless soap dispenser","https://www.linkedin.com/pulse/prepare-road-deconfinement-adapted-devices-universal-soap-sales/","2020-04-13","en","Prototype de distributeur de savon sans contact basé sur Arduino, adaptable à n'importe quelle bouteille existante. Intègre un monitoring cloud pour la gestion des stocks en entreprise."
"2020-04-06-wfh-kids-pomodoro-leds","Work@Home with Kids: Pomodoro, LEDs, and code blocks to the rescue","https://www.linkedin.com/pulse/workhome-kids-pomodoro-leds-code-blocks-rescue-adrien-sales/","2020-04-06","en","Creative solution combining Pomodoro technique with LED feedback via Adafruit Circuit Playground Express to help children learn programming. Signals availability to reduce interruptions during focused work intervals."
